Date,Open_APOLLOHOSP,High_APOLLOHOSP,Low_APOLLOHOSP,Close_APOLLOHOSP,Adj_Close_APOLLOHOSP,Volume_APOLLOHOSP,Open_CIPLA,High_CIPLA,Low_CIPLA,Close_CIPLA,Adj_Close_CIPLA,Volume_CIPLA,Open_FORTIS,High_FORTIS,Low_FORTIS,Close_FORTIS,Adj_Close_FORTIS,Volume_FORTIS,Open_GLENMARK,High_GLENMARK,Low_GLENMARK,Close_GLENMARK,Adj_Close_GLENMARK,Volume_GLENMARK,Open_SUNPHARMA,High_SUNPHARMA,Low_SUNPHARMA,Close_SUNPHARMA,Adj_Close_SUNPHARMA,Volume_SUNPHARMA
2010-01-04,327.0,362.5,323.6000061035156,347.1499938964844,323.32257080078125,563604,338.0,339.5,336.0,337.54998779296875,308.8033142089844,635013,130.1999969482422,144.75,130.1999969482422,144.0,143.26771545410156,2322642,275.0,277.95001220703125,274.0,275.04998779296875,261.2753601074219,331811,153.8000030517578,153.8000030517578,150.11000061035156,150.73500061035156,136.41729736328125,831170
2010-01-05,349.45001220703125,370.0,342.54998779296875,366.375,341.22802734375,597476,338.54998779296875,342.3999938964844,330.5,331.5,303.2685241699219,1664976,144.60000610351562,146.4499969482422,141.0,141.5500030517578,140.83016967773438,1193633,276.0,287.70001220703125,276.0,284.54998779296875,270.2995910644531,1643575,152.1999969482422,155.8800048828125,151.30499267578125,155.26499938964844,140.5170135498047,1231990
2010-01-06,325.625,367.1000061035156,325.625,353.92498779296875,329.63250732421875,168942,332.0,348.8999938964844,330.3500061035156,344.8999938964844,315.5273742675781,3580916,142.6999969482422,143.8000030517578,139.10000610351562,140.6999969482422,139.98448181152344,698069,285.0,290.0,279.5,281.1499938964844,267.06988525390625,852411,155.5050048828125,158.14999389648438,153.2100067138672,157.27999877929688,142.34060668945312,1882490
2010-01-07,340.0,374.5,340.0,356.92498779296875,332.4266052246094,392410,346.0,350.3999938964844,340.5,342.04998779296875,312.92010498046875,1555841,140.0,144.89999389648438,139.10000610351562,140.89999389648438,140.18345642089844,708898,283.5,284.0,273.20001220703125,275.0,261.2279357910156,1263253,157.89500427246094,157.89500427246094,153.3350067138672,154.88499450683594,140.17308044433594,923100
2010-01-08,359.5,367.0,352.5,355.7250061035156,331.3090515136719,133122,345.0,346.5,340.20001220703125,341.1000061035156,312.0509948730469,913410,140.0,143.5,139.6999969482422,140.3000030517578,139.58653259277344,650592,277.29998779296875,279.95001220703125,273.25,276.8500061035156,262.9852905273437,614636,155.5800018310547,160.5,155.0050048828125,157.4949951171875,142.53518676757812,3298080
2010-01-11,355.7250061035156,364.5,352.54998779296875,355.2250061035156,330.8432922363281,88576,343.79998779296875,346.20001220703125,341.0,342.29998779296875,313.1488342285156,741426,140.10000610351562,142.5,139.1999969482422,139.8000030517578,139.0890655517578,486562,279.0,279.8999938964844,275.0,278.45001220703125,264.505126953125,493950,158.57000732421875,159.44000244140625,156.48500061035156,157.47000122070312,142.5125732421875,1032970
2010-01-12,359.95001220703125,360.5,348.07501220703125,351.4750061035156,327.3507385253906,82990,342.29998779296875,344.3999938964844,336.54998779296875,339.6499938964844,310.7244873046875,1083070,141.0,141.0,135.5,136.35000610351562,135.6566162109375,587977,278.0,284.5,276.25,278.04998779296875,264.1251220703125,675196,157.47000122070312,158.97999572753906,154.8000030517578,157.17999267578125,142.25010681152344,1534080
2010-01-13,350.5,359.5,344.5,355.4750061035156,331.0762023925781,98122,338.8999938964844,345.70001220703125,337.0,341.8500061035156,312.7371826171875,957815,135.0,141.8000030517578,135.0,140.1999969482422,139.48703002929688,686507,276.5,284.0,274.0,280.8500061035156,266.784912109375,529508,155.5,157.36500549316406,152.8350067138672,154.77999877929688,140.07806396484375,934880
2010-01-14,359.2749938964844,363.0,350.5,356.3500061035156,331.8910827636719,154890,344.45001220703125,345.0,340.0,340.79998779296875,311.7764892578125,750438,142.25,149.89999389648438,141.5,147.5,146.74990844726562,2012136,281.0,284.8999938964844,280.3999938964844,282.3999938964844,268.2572937011719,611083,157.0,158.10000610351562,155.02499389648438,155.9499969482422,141.13693237304688,1520300
2010-01-15,359.92498779296875,360.125,345.04998779296875,348.3500061035156,324.44024658203125,53922,341.29998779296875,353.0,338.6499938964844,350.20001220703125,320.3760070800781,2637077,147.39999389648438,148.8000030517578,144.6999969482422,145.4499969482422,144.7103271484375,585554,281.5,285.8999938964844,278.04998779296875,283.04998779296875,268.8747253417969,779801,155.5,156.75,152.0,152.50999450683594,138.023681640625,1165560
2010-01-18,348.0,354.5,341.0,347.9750061035156,324.0909118652344,78840,349.5,358.3999938964844,345.1000061035156,348.04998779296875,318.4090881347656,1472491,145.0,146.89999389648438,144.0,144.60000610351562,143.86465454101562,329492,282.8999938964844,288.8999938964844,280.29998779296875,285.45001220703125,271.154541015625,791885,152.5,154.78500366210938,151.0,151.64500427246094,137.2408905029297,1561220
2010-01-19,350.0,350.4750061035156,337.0,338.375,315.1498413085937,58592,348.8999938964844,351.5,341.0,342.45001220703125,313.2860107421875,717425,144.0,146.39999389648438,140.5500030517578,141.39999389648438,140.68092346191406,412829,286.3999938964844,287.20001220703125,280.0,281.1499938964844,267.06988525390625,358864,152.6999969482422,152.6999969482422,147.30999755859375,148.58999633789062,134.47604370117188,852620
2010-01-20,344.0,344.5,335.6499938964844,339.125,315.84832763671875,43784,343.0,347.70001220703125,341.3999938964844,342.54998779296875,313.3774719238281,713101,141.0,145.0,139.5,140.60000610351562,139.885009765625,541828,282.0,283.75,278.0,278.95001220703125,264.9800720214844,335318,148.0050048828125,149.3800048828125,146.5800018310547,147.3350067138672,133.34024047851562,1596560
2010-01-21,342.45001220703125,354.0,337.5,339.75,316.43048095703125,125428,342.54998779296875,347.95001220703125,336.0,337.5,308.7575988769531,764069,140.0,144.5,138.25,139.3000030517578,138.59161376953125,665621,278.0,280.0,263.0,267.25,253.86602783203125,638286,147.3000030517578,149.3800048828125,145.5,146.48500061035156,132.5709991455078,1417400
2010-01-22,339.0,340.0,329.75,333.3999938964844,310.5162658691406,132082,335.79998779296875,337.0,323.3500061035156,330.29998779296875,302.1708374023437,1541620,139.0,143.89999389648438,135.0,142.10000610351562,141.3773651123047,1165045,263.0,277.0,249.1000061035156,262.95001220703125,249.7813415527344,1055119,145.0,145.0,140.0,143.1999969482422,129.5980224609375,3423490
